reference	model	metric	n_pairs	reference_mean	baseline_mean	mean_difference	wilcoxon_greater_p	wilcoxon_statistic
ppko_v10b	direct_kinase_substrate	all_cosine	32	0.5373904133915561	0.03254226754446316	0.5048481458470929	2.3283064365386963e-10	528.0
ppko_v10b	direct_kinase_substrate	all_direction	32	0.6956009759015702	0.5483512581168831	0.1472497177846872	0.006438076545572823	397.0
ppko_v10b	direct_kinase_substrate	responsive20_cosine	27	0.6909101225024457	0.041412048893786	0.6494980736086596	7.450580596923828e-08	373.0
ppko_v10b	direct_kinase_substrate	responsive20_direction	27	0.8423721340388007	0.5740740740740741	0.26829805996472667	0.0021169889256824307	214.5
ppko_v10b	direct_kinase_substrate	predicted20_cosine	32	0.6770920819679134	0.01617542302852265	0.6609166589393907	4.656612873077393e-10	527.0
ppko_v10b	direct_kinase_substrate	predicted20_direction	32	0.8508184523809524	0.53125	0.3195684523809524	1.375706435794537e-05	386.5
ppko_v10b	direct_kinase_substrate	top20_recall	125	0.45833015873015875	0.215631746031746	0.2426984126984127	5.261851062133444e-16	4603.5
ppko_v10b	direct_kinase_substrate	response_auroc_abs_pred	125	0.7127133556064263	0.5031814138237288	0.20953194178269746	1.6254624423245918e-19	7468.0
ppko_v10b	graph_heat_diffusion	all_cosine	111	0.5781757965378299	0.023800557640889362	0.5543752388969406	3.5236252304002383e-20	6210.0
ppko_v10b	graph_heat_diffusion	all_direction	111	0.7138911452280224	0.48885415925788234	0.22503698597014027	1.5028985524182414e-19	5964.0
ppko_v10b	graph_heat_diffusion	responsive20_cosine	111	0.7463737338303937	0.04617579961112346	0.7001979342192703	4.621650312457978e-20	6200.0
ppko_v10b	graph_heat_diffusion	responsive20_direction	111	0.8688545688545689	0.43923923923923913	0.42961532961532967	1.1493986402056042e-19	5872.5
ppko_v10b	graph_heat_diffusion	predicted20_cosine	111	0.7151668508069927	0.03693660887485289	0.6782302419321397	5.245233563390776e-19	6109.0
ppko_v10b	graph_heat_diffusion	predicted20_direction	111	0.8626662376662377	0.5475904475904476	0.31507579007579006	3.9311554042717885e-17	5118.5
ppko_v10b	graph_heat_diffusion	top20_recall	125	0.45833015873015875	0.22956825396825392	0.22876190476190475	2.972510608773476e-14	4789.5
ppko_v10b	graph_heat_diffusion	response_auroc_abs_pred	125	0.7127133556064263	0.5172042630238517	0.1955090925825746	4.971736320398707e-16	6794.0
ppko_v10b	retrieval_target	all_cosine	125	0.5596200887849156	-0.021801294877212947	0.5814213836621287	9.80480522055448e-22	7796.0
ppko_v10b	retrieval_target	all_direction	125	0.6962186617619377	0.49158684449768647	0.20463181726425153	3.566006793821273e-20	7534.5
ppko_v10b	retrieval_target	responsive20_cosine	125	0.7196111975629783	-0.05851673348616791	0.7781279310491461	1.088417990580236e-20	7693.0
ppko_v10b	retrieval_target	responsive20_direction	125	0.8631619047619048	0.49382857142857134	0.36933333333333335	4.9120531968261474e-20	7519.0
ppko_v10b	retrieval_target	predicted20_cosine	125	0.7039701807503493	-0.038484452924328456	0.742454633674678	1.5371770679077217e-20	7678.0
ppko_v10b	retrieval_target	predicted20_direction	125	0.8605238095238096	0.4773428571428572	0.38318095238095234	6.632255020004218e-20	6478.0
ppko_v10b	retrieval_target	top20_recall	125	0.45833015873015875	0.1612190476190476	0.29711111111111116	8.413798021440709e-19	5897.5
ppko_v10b	retrieval_target	response_auroc_abs_pred	125	0.7127133556064263	0.4600743033531919	0.2526390522532344	3.4573530801976874e-19	7434.5
ppko_v10b	retrieval_target_baseline	all_cosine	125	0.5596200887849156	-0.02790939192347325	0.587529480708389	4.265011637818459e-22	7831.0
ppko_v10b	retrieval_target_baseline	all_direction	125	0.6962186617619377	0.47400134201350064	0.22221731974843728	3.490458840953832e-21	7742.0
ppko_v10b	retrieval_target_baseline	responsive20_cosine	125	0.7196111975629783	-0.0073274892348211594	0.7269386867977996	2.237491877362603e-21	7761.0
ppko_v10b	retrieval_target_baseline	responsive20_direction	125	0.8631619047619048	0.4734761904761905	0.3896857142857143	1.331366072112705e-20	7469.5
ppko_v10b	retrieval_target_baseline	predicted20_cosine	125	0.7039701807503493	-0.09404298453540312	0.7980131652857526	9.924663013039051e-21	7697.0
ppko_v10b	retrieval_target_baseline	predicted20_direction	125	0.8605238095238096	0.45717142857142845	0.40335238095238096	2.2240972512316593e-19	6831.5
ppko_v10b	retrieval_target_baseline	top20_recall	125	0.45833015873015875	0.20924444444444443	0.24908571428571433	3.072238709726946e-16	5761.5
ppko_v10b	retrieval_target_baseline	response_auroc_abs_pred	125	0.7127133556064263	0.4993551996845125	0.21335815592191382	1.4018006742968504e-16	7258.0
ppko_v10b	ridge_signed_target	all_cosine	125	0.5596200887849156	-0.030793251926511136	0.5904133407114268	1.9796629875137374e-22	7863.0
ppko_v10b	ridge_signed_target	all_direction	125	0.6962186617619377	0.4764455306296182	0.2197731311323196	1.5900774227429682e-21	7775.5
ppko_v10b	ridge_signed_target	responsive20_cosine	125	0.7196111975629783	-0.01868004963614341	0.7382912471991216	7.034205517408619e-22	7810.0
ppko_v10b	ridge_signed_target	responsive20_direction	125	0.8631619047619048	0.5256888888888889	0.33747301587301587	1.6854230503903742e-20	6936.5
ppko_v10b	ridge_signed_target	predicted20_cosine	125	0.7039701807503493	-0.09879749302457343	0.802767673774923	1.184739932555774e-21	7788.0
ppko_v10b	ridge_signed_target	predicted20_direction	125	0.8605238095238096	0.456631746031746	0.4038920634920635	4.8875575813767185e-20	6389.5
ppko_v10b	ridge_signed_target	top20_recall	125	0.45833015873015875	0.20560317460317462	0.25272698412698413	4.7023948870955085e-18	5106.0
ppko_v10b	ridge_signed_target	response_auroc_abs_pred	125	0.7127133556064263	0.47081875977892607	0.2418945958275003	3.3643306253851923e-18	7331.5
ppko_v10b	rwr_signed_graph	all_cosine	111	0.5781757965378299	0.032237287823498176	0.5459385087143319	3.720325375570901e-20	6208.0
ppko_v10b	rwr_signed_graph	all_direction	111	0.7138911452280224	0.49245444772415753	0.221436697503865	9.827618907217834e-20	6172.0
ppko_v10b	rwr_signed_graph	responsive20_cosine	111	0.7463737338303937	0.09436963831986803	0.6520040955105258	9.832868527908177e-20	6172.0
ppko_v10b	rwr_signed_graph	responsive20_direction	111	0.8688545688545689	0.4578721578721579	0.410982410982411	1.4068722674661025e-19	5866.5
ppko_v10b	rwr_signed_graph	predicted20_cosine	111	0.7151668508069927	0.04933568765761959	0.6658311631493731	3.723394388560933e-19	6122.0
ppko_v10b	rwr_signed_graph	predicted20_direction	111	0.8626662376662377	0.5262870012870013	0.3363792363792365	8.144992446127461e-17	4665.5
ppko_v10b	rwr_signed_graph	top20_recall	125	0.45833015873015875	0.2217714285714285	0.23655873015873016	9.888551418563208e-16	5713.5
ppko_v10b	rwr_signed_graph	response_auroc_abs_pred	125	0.7127133556064263	0.5170480426726597	0.19566531293376666	5.1954583401380604e-17	7203.5
ppko_v10b	zero_vector	all_cosine	0					
ppko_v10b	zero_vector	all_direction	0					
ppko_v10b	zero_vector	responsive20_cosine	0					
ppko_v10b	zero_vector	responsive20_direction	0					
ppko_v10b	zero_vector	predicted20_cosine	0					
ppko_v10b	zero_vector	predicted20_direction	0					
ppko_v10b	zero_vector	top20_recall	125	0.45833015873015875	0.21510793650793647	0.2432222222222222	1.282408797350378e-15	4823.5
ppko_v10b	zero_vector	response_auroc_abs_pred	125	0.7127133556064263	0.5	0.21271335560642632	1.580934427703261e-19	7364.0
