evaluation	test_dataset	phospho_residual_only	protein_only	protein_plus_residual	residual_gain_over_protein_only	protein_component_gain_over_residual_only
external_reconstruction	all	0.19066888101527846	0.10140990241004562	0.19066888101527846	0.08925897860523284	0.0
external_reconstruction	gse300551_iccite_plex_kinase_2025	0.30922099971518735	0.12140933950237685	0.3089378768707387	0.18752853736836184	-0.00028312284444864666
external_reconstruction	phospho_seq_blair_2025_phospho_multi	0.37855669707942285	-0.10122753197036238	0.37569587900373225	0.47692341097409463	-0.0028608180756906076
external_reconstruction	signal_seq_gse256403_hela_2024	0.5729747260705579	-0.46657127487261635	0.5729747260705579	1.0395460009431743	0.0
external_reconstruction	signal_seq_gse256404_pdo_caf_2024	0.11717161474838864	0.100031845198845	0.11764542477430984	0.017613579575464833	0.0004738100259212008
external_reconstruction	vivo_seq_th17_2025	0.2103953543856738	-0.27743207311887125	0.2103953543856738	0.48782742750454505	0.0
internal_cv_reconstruction	all	0.14886910323146058	0.04538400219354169	0.15129785384798541	0.10591385165444372	0.0024287506165248385
internal_cv_reconstruction	iccite_seq_tcell_2025	0.32733228785782453	0.036732175256473744	0.3266868731487068	0.28995469789223305	-0.0006454147091177198
internal_cv_reconstruction	qurie_seq_bjab_2021	0.11718258200847834	0.04953373296702074	0.12287860361260355	0.07334487064558282	0.005696021604125218
train_reconstruction	all	0.20437146728560399	0.024265917966958275	0.20805067686377843	0.18378475889682017	0.0036792095781744416
train_reconstruction	iccite_seq_tcell_2025	0.3300566312137099	0.042331925054743855	0.329939437358691	0.28760751230394715	-0.00011719385501884894
train_reconstruction	qurie_seq_bjab_2021	0.1752230093093503	0.024265917966958275	0.1811622652498434	0.15689634728288515	0.0059392559404931045
