rank	split_69001	split_69002	split_69003	split_69004	split_69005
1	USP22	RNF144A	__Kcnq1ot1	ARL3	__Cnpy2
2	__Ddit3	__Sipa1l1	ARF4	STAU1	SPAG7
3	__Snrnp40	__Syce2	__Hist1h2ae	PELI1	EPB41
4	NBAS	__Psmd1	ARHGEF7	__Smap2	__Plekhj1
5	SERINC5	HSPH1	TRAF3IP2-AS1	KHSRP	USP3
6	__Snx2	WAS	ATP6V1G1	__Bclaf1	__Lta4h
7	DENND1A	__Oga	CPSF6	NOL3	MLLT6
8	__Psmc2	GIT2	AC090125.1	__Rgcc	NDUFB3
9	GTSE1	__Gltp	__Tpp2	ZNF407	__Zfand3
10	__Pitpna	__Cbfb	KCMF1	__Abi1	SAFB
11	IRF1	__Osbpl8	__Arhgap30	LYPLA1	KCMF1
12	DUSP16	__Nelfe	__Psmd3	CCDC91	__Plec
13	__Mrps36	TNRC6A	__Rab4b	BCL7C	__Rcn1
14	GTPBP4	__Zwint	MRPL21	WAPL	CCNH
15	HIVEP2	__Trabd	__Suclg1	AIF1	ESF1
16	__Zcchc9	__Rab4b	__Rnf19b	SP140	__Ap1s1
17	__Srm	RPL39L	__Mrpl21	SZRD1	__Kpna4
18	ZNF106	__Faap20	TRA2A	ADRM1	__Rps6ka5
19	CKAP5	GOLGB1	__Nrd1	SSR1	CCAR1
20	__Gspt1	__Ptms	__Kpna4	STAU2	__Ccdc124
21	__Plk1	MCRIP1	SNRNP200	DNAJC15	SNX10
22	DPY30	__Dpysl2	__Nxpe3	FNDC3B	ATIC
23	ITGB3BP	ADD1	__Polr2a	SUGP2	PPP1R2
24	ECHS1	MFNG	NENF	ITM2C	PMCH
25	INPP4A	__Rsf1	LRRN3	__Pold1	RALBP1
26	__Dnajc5	GTPBP4	CYB5B	LRCH3	__Lrp10
27	GIT2	__Abtb2	RALBP1	__Cdca2	ARL3
28	ST6GAL1	__Snx2	__Pias1	NEMF	MRPL55
29	RFX3	YIF1A	__Pten	MAP4K3	__Tab2
30	MAPK1IP1L	NDUFA3	ITGB3BP	__Mydgf	XBP1
31	EXOSC7	SSBP2	CAMTA1	FDXR	__Rbm6
32	HLA-F	__Cmc1	CLEC16A	DDX46	__Btbd9
33	__Utp3	BCKDHA	NF1	PMCH	__Lsm12
34	CEP295	CMTM3	__Slc38a1	AC007384.1	LRRFIP2
35	__Cyth1	__Nsmce4a	__Esyt2	__Tnrc6a	WDR26
36	__Fbxo5	__Grpel1	ZNRF1	FAM13A	MTCH2
37	WDR82	__Gspt1	__Rasa2	FIBP	__Denr
38	__Spint2	COPZ1	__Akap9	DENND4C	USP10
39	__Ptms	__Exosc5	MRPS18C	__Gapvd1	__Arhgap30
40	MRPL33	UBR2	__Ddit3	CISD1	HSPH1
41	PYCR1	RTN3	__Naa15	EMD	ACACA
42	__S1pr4	ELOVL5	CTDNEP1	__Pdlim1	SNF8
43	PRR11	RELB	ADD3	__Cmc1	__Traf3ip3
44	__Dpysl2	__Flt3l	USP10	DAZAP2	PPIF
45	GOLGB1	NBAS	CHCHD1	__Psd4	MOB1A
46	__Dennd1b	RIOK3	__Mlec	DKC1	__Phlda3
47	__Cdca2	KIAA2026	__Cnp	HSBP1	ZNF395
48	__Pdcd6ip	__Ccnl1	__Rps6ka3	ITM2A	KDELR2
49	__Cbfb	PPIF	PRR11	__Slc38a1	TLK1
50	LRRN3	INPP4A	DBNL	KAT6B	CUL1
51	__Bzw2	PDXK	ATP2B4	MAPK1IP1L	HLA-F
52	__Cnpy2	JOSD2	CREB1	CHCHD1	__Aarsd1
53	__Flt3l	__Plk1	MED13	RAB6A	MBD2
54	AATF	__Dennd1b	SAFB	__Notch2	TRAF3IP2-AS1
55	__Rsf1	METTL15	__Ptms	__Cenpx	__Tgm2
56	__Denr	__Pced1b	CIAO1	CNOT2	__Emb
57	__Btg1	ANKRD28	__Eif3l	__Lpin1	ACAA2
58	SEC13	__Snrnp40	VPS51	GALNT2	AMD1
59	ABI1	__Zfp106	__Zfp36l2	CSE1L	RTN3
60	SEC31A	IRF1	BRIP1	__Lrmp	LCP2
61	__Ndufb4	ADNP	COG5	DDIT3	SNRNP200
62	__Pced1b	CCDC18-AS1	__Susd3	PPIF	TMEM165
63	RCBTB2	PTPN11	ERGIC3	__Slco3a1	__Ehmt2
64	AC092821.3	__Nxpe3	BAZ1B	ADTRP	NPC2
65	__Imp3	__Plaat3	__Zfand3	S1PR4	CASP8
66	CEP128	PYCR1	ESF1	__Noc2l	CREB1
67	__Etf1	USP37	CDK5RAP2	__Pdha1	AC090125.1
68	__Ctbp1	__Amz2	__Rpn1	__Tox	RWDD1
69	__Eif2s1	SRSF1	__Fuca1	NUP210	ZNRF1
70	SKA2	__Pitpna	PPIE	__1110004F10Rik	MARCH7
71	__Cntrl	__Xrn2	VRK1	__Srpk2	__Otulin
72	__Pias1	__St13	RWDD1	__Brd1	SELENOF
73	__Eml4	__Zfp207	__Dgka	BIN1	__A430093F15Rik
74	CERT1	__Cyth1	RASSF5	HLA-DRB1	__St8sia4
75	__Osbpl8	GABARAPL2	FBXW11	USP9X	__Grpel1
76	__Rnf7	__Akap9	KHSRP	DAP3	__Hist1h2ae
77	__Nelfe	RCBTB2	__Lrmp	PTBP2	__Cstb
78	NFE2L2	USP22	MARCH7	KIF22	__Asap1
79	__Sf1	AC092821.3	GIT2	__H2-DMa	PRDM2
80	SENP6	__Diaph2	COPB1	__Larp1b	EDEM1
81	__Amz2	EHMT1	__Pkn2	__Dgka	SPPL2A
82	__Plaat3	CD164	DHX9	__Kif2a	__Ripor2
83	CCNB2	CERT1	SNF8	GTSE1	DHX9
84	GIMAP4	CHCHD1	CCAR1	__Ralbp1	NDUFA3
85	RNF144A	HNRNPUL1	SNX10	__Sla	__Dnajc5
86	__Cmc1	__Tcerg1	__Sf1	__Nckap1l	PPP4R3A
87	__Tbcb	__Cox16	ASMTL	__Epb41l4aos	CKAP5
88	__Cops6	SKA2	CUL1	UBE3A	ERGIC3
89	__Wbp4	__Scd1	NCOA1	__Nucb1	__Rnf126
90	LYST	CLSPN	__Ppp2r1a	DCTPP1	__Anapc13
91	SMARCB1	__Cntrl	__Rbm6	__Btg1	VPS51
92	__Ube2n	__Ddx46	__Zfp207	ECI1	RELB
93	__Fuca1	__Wbp4	LINC01572	CYP51A1	__Rnf7
94	__St13	__Tbrg1	R3HDM2	__Eif4e2	TIAM2
95	__Akap9	__Ube2n	DLGAP5	__Ttc39b	UBE2V2
96	PTPN11	MON2	MAD2L2	__Hpf1	FBXW11
97	PRPF19	__Clint1	RABGAP1	__Kcnq1ot1	SMCO4
98	__Ssbp4	LARP4B	DNAJC15	__Tipin	__Pum1
99	ELOVL5	__Gab2	__Gata3	SNX6	__Rtcb
100	__Nsmce4a	__Suclg1	__Ripor2	__Usp25	MNAT1
101	OSM	__Traf3ip3	__Lrp10	SYF2	ARHGEF7
102	__Xrn2	__Sh3bp1	ANKRD37	PLEKHJ1	__Dok2
103	AIF1	NME3	KDM6A	LRRN3	UBE3A
104	RIOK3	CARD8	__Irf4	CPSF6	__Emd
105	SRSF1	__Psmd14	__Rps6ka5	__Epn1	__Pten
106	CENPK	__Psmd3	SSR1	CENPX	__Sipa1l1
107	RTN3	RABEP1	GGCT	TRADD	ZAP70
108	__Diaph2	__Eif4g3	__Cfdp1	IMP3	__Txndc17
109	__Alkbh5	CAMTA1	PSMD2	CAMTA1	__Ssbp4
110	__Ccnl1	__Elof1	FNTA	__Add3	__Ccnl1
111	COA4	__Adrm1	__Exosc5	__Ssbp4	__Pin1
112	DENR	__S1pr4	SMDT1	__Zcrb1	__Lsm14a
113	__Tmem97	UBE3A	__Denr	ITFG1	POM121
114	__Surf4	CPSF6	__Emd	__Lsm8	__Hells
115	NDUFB3	PCBP3	__Ruvbl2	STARD7	ANXA7
116	ISG20	ANKRD37	__Ssbp4	EPS15	FOXJ3
117	__Lamp1	AATF	__Ddx42	__Mlec	DTYMK
118	__Trim27	__Psmc2	__Plec	__Dnajb6	__Arid2
119	RABL6	RTCB	__Lsm3	CCNH	SUN2
120	KIAA2026	HLA-F	CCDC18-AS1	__Rasa2	RASAL3
121	__Gab2	COPS9	ATIC	PKN1	BRIP1
122	TTC7A	__Itpr1	UBE3A	CARS	LARS
123	PGP	__Dcxr	MARCH6	SNHG7	YTHDF2
124	__Rsl1d1	ATXN10	__Vmp1	__Spop	TRA2A
125	PRPF31	__Elovl5	ACACA	PPP4R3B	NDUFB6
126	HTT	CCNB2	__Psmd1	SCMH1	__Rbck1
127	ADD1	PBRM1	__Idh3g	__Actr10	PKN2
128	SDHC	MRPL36	__Cab39	COPB1	BAZ1B
129	GINS2	INTS11	__Dnajc5	TSTD1	RABEP1
130	__Pmf1	__Cdca2	PRDM2	__Sqle	KDM5B
131	PCBP3	SLC5A3	__Lsm8	__Gmds	TMEM256
132	WAS	__Rnf7	ZBTB1	__Supt5	__Polr2a
133	__Ddx46	ECHS1	__Igtp	__Tomm70a	__Timm17b
134	CHCHD1	SDHC	__Cbx1	__Sod2	MRTFA
135	EIF2S1	__Bzw2	TPGS2	FAAP20	MARK3
136	VPS51	__Rsl1d1	__Kif20b	VSIR	__Tcerg1
137	__Agpat5	__Eif2s1	SLC41A2	__Cntrl	MAP3K2
138	__Kars	__Tcea1	AC147651.4	MRPS15	CENPW
139	__Wac	DCP1A	MRTFA	__Rbm33	__Zfp36l2
140	CMTM3	EIF2S1	ZCRB1	__Mrpl28	ITGB3BP
141	UBE3A	__Cnpy2	__Hpf1	__Ascc3	MAPK1IP1L
142	SSBP2	__Lta4h	WDR82	__Arglu1	__Cfdp1
143	TIMM17B	__Denr	__Pin1	STAMBP	PSMD9
144	CMPK1	HTT	__Ccnl1	CAND1	ADD3
145	__Traf3ip3	__Zcrb1	JUN	__Pias1	__Gata3
146	__Gltp	__Etf1	APOBEC3C	__Dnajc5	__0610010K14Rik
147	__Tcerg1	PRPF19	__Supt16	POLR2J	WDR18
