model	evaluation	test_dataset	target_id	target_index	n	spearman	pearson	component
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	RPS6_pSitePending	0	12185	-0.013245807625579965	0.02708277750998373	protein_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	STAT3_Y705	1	11440	0.040461818423720625	0.015453470316908517	protein_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	MAPK14_pSitePending	2	12185	-0.012815259651931657	0.0065172015181766	protein_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	AKT_pSitePending	3	745	0.11516234836412391	0.11340316215903565	protein_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	BTK_pSitePending	4	745	-0.0023245520267406406	0.002151037946791428	protein_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	CREB1_S133_ATF1_S63	5	11440	0.015203663469715639	0.00939449384650475	protein_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	HM0025_phospho_p44_42_197G2	7	11440	0.028726871399983943	0.023556319633321925	protein_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	JUN_pSitePending	8	11440	0.03300253208922686	0.006191254154795605	protein_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	LAT_Y226	9	11440	0.057048282268349605	0.003619970703880575	protein_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	LCP2_S376	10	11440	0.02631188592090601	0.01652230127121765	protein_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	MAP2K1_S298	11	11440	0.0420623649831157	-0.0016404845279264927	protein_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	MAPK14_pSitePending_D3F9	12	11440	0.06062141866930746	0.02956494659628181	protein_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	MAPK1_MAPK3_pSitePending	14	745	0.0933263999218394	0.0751608762611973	protein_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	PLCG2_Y759	15	745	0.09271346460764344	0.1096268466282308	protein_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	PLCG2_pSitePending	16	745	0.03092386010584895	0.0018708370071183478	protein_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	RELA_pSitePending_93H1	18	11440	0.09109006229127081	0.05916608519804644	protein_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	STAT5A_STAT5B_Y694_Y699	21	11440	0.07382419941141248	0.02179378008753121	protein_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	SYK_pSitePending	22	745	0.04253527115832322	0.05028926159167939	protein_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	p-AMPK-a1/2	23	745	0.07219273207074982	0.07501034079023396	protein_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	p-AMPK-b1	24	745	0.024530373852149977	0.01266730800284089	protein_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	p-BLNK	25	745	0.05404100035288204	0.019745972346365957	protein_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	p-CD79a	26	745	0.09644942493980099	0.016519138705223223	protein_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	p-CDK1	27	745	0.05002300908045565	0.07216455182010129	protein_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	p-CDK4	28	745	-0.010011494888758639	-0.002972674231162785	protein_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	p-HistonH2A.X	30	745	0.030570589656617995	0.011959594794064986	protein_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	p-HistonH3	31	745	0.04904445685358583	0.013677493878904604	protein_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	p-IKKa/b	32	745	0.025309072026228417	0.038567033661681294	protein_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	p-IRAK4	33	745	-0.002282134355966735	-0.03582445570878644	protein_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	p-JAK1	34	745	0.14582377190168147	0.08537822175760718	protein_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	p-JNK	35	745	0.005918097694166235	0.015262076896974135	protein_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	p-PKC-b1	36	745	0.061803212109525225	0.06283251096173441	protein_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	p-Rb	37	745	0.061083788995887366	0.09328465473586578	protein_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	p-STAT5	40	745	0.029296712126493474	0.001299532859878898	protein_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	p-STAT6	41	745	0.10308346249836797	0.07505578198968593	protein_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	p-Src	42	745	0.08284490196486896	0.0795349854980417	protein_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	p-TOR	43	745	0.0011219681082010394	-0.012439981245677063	protein_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	p-c-Jun	44	745	0.06020387843331052	0.07351383720507043	protein_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	p-p65	45	745	0.04823273322876015	0.03805352633980598	protein_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	iccite_seq_tcell_2025	RPS6_pSitePending	0	11440	-0.018037551275469237	0.021917362244932743	protein_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	iccite_seq_tcell_2025	STAT3_Y705	1	11440	0.040461818423720625	0.015453470316908517	protein_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	iccite_seq_tcell_2025	MAPK14_pSitePending	2	11440	-0.01150892982336881	0.0064142620490510735	protein_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	iccite_seq_tcell_2025	CREB1_S133_ATF1_S63	5	11440	0.015203663469715639	0.00939449384650475	protein_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	iccite_seq_tcell_2025	HM0025_phospho_p44_42_197G2	7	11440	0.028726871399983943	0.023556319633321925	protein_only
SCP682-SC12-protein-residual	internal_cv_reconstruction	iccite_seq_tcell_2025	JUN_pSitePending	8	11440	0.03300253208922686	0.006191254154795605	protein_only
