model	evaluation	test_dataset	target_id	target_index	n	spearman	pearson
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	RPS6_pSitePending	0	12185	0.5114588324252848	0.5593042720749
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	STAT3_Y705	1	11440	0.2711860041317077	0.2605037749279196
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	MAPK14_pSitePending	2	12185	0.3791940871901	0.1829551472264865
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	AKT_pSitePending	3	745	0.2179878624897158	0.2276736094519322
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	BTK_pSitePending	4	745	0.122911487290047	0.1094617874274146
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	CREB1_S133_ATF1_S63	5	11440	0.3242497041203259	0.0972093082560951
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	HM0025_phospho_p44_42_197G2	7	11440	0.2715713818405409	0.2734614840266273
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	JUN_pSitePending	8	11440	0.2375892486834624	0.2321477433647009
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	LAT_Y226	9	11440	0.3409287480313059	0.0722505951600681
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	LCP2_S376	10	11440	0.4623571208703211	0.4708324119300751
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	MAP2K1_S298	11	11440	0.3291240421770877	0.1694674573899659
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	MAPK14_pSitePending_D3F9	12	11440	0.3381702612964476	0.3221425054678148
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	MAPK1_MAPK3_pSitePending	14	745	0.0477542175091543	0.0760529002219056
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	PLCG2_Y759	15	745	0.2051758134548036	0.1814121543239301
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	PLCG2_pSitePending	16	745	0.1228457199351601	0.1201251997386847
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	RELA_pSitePending_93H1	18	11440	0.2174091114645638	0.207973698853407
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	STAT5A_STAT5B_Y694_Y699	21	11440	0.415536748918399	0.147069739355942
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	SYK_pSitePending	22	745	0.1359992331451207	0.1511604112494478
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	p-AMPK-a1/2	23	745	0.172017522709985	0.1789240795034174
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	p-AMPK-b1	24	745	0.0715451481795867	0.0926400940904208
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	p-BLNK	25	745	0.0392084094866414	0.0578733133064043
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	p-CD79a	26	745	0.0222245671670434	0.045687682721636
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	p-CDK1	27	745	0.2475549761049834	0.2729887418476046
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	p-CDK4	28	745	0.0557083037298993	0.0428584449867299
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	p-HistonH2A.X	30	745	0.0716254132497877	0.0361561816655846
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	p-HistonH3	31	745	0.0563020663630486	0.0756377629476124
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	p-IKKa/b	32	745	0.0605525821614681	0.0569873323567623
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	p-IRAK4	33	745	0.0695196057557265	0.0781196595257732
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	p-JAK1	34	745	0.1220104938974127	0.1250930337204545
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	p-JNK	35	745	0.1432997649631593	0.1415300392362442
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	p-PKC-b1	36	745	0.0683481007527412	0.0453261319084646
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	p-Rb	37	745	0.270481758135084	0.2910841032300769
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	p-STAT5	40	745	0.0697735295127161	0.0639491264255319
