competitor	metric	target_id	n_folds	median_delta	mean_delta	fold_win_fraction
ctpnet	overall	AKT_S473	5	0.015306412285932491	0.017026597497650054	1.0
ctpnet	overall	CREB1_S133_ATF1_S63	5	0.02449457692242235	0.031635793985695916	1.0
ctpnet	overall	EIF4EBP1_T37_T46	5	-0.003020289943042709	-0.018678821778860166	0.4
ctpnet	overall	HISTONE_H3_S28	5	0.022287626280841022	0.028752134105662974	1.0
ctpnet	overall	JUN_pSitePending	5	0.004880156713117589	0.0072459383355136684	0.8
ctpnet	overall	LAT_Y226	5	0.0357421072595544	0.03313554440932758	0.8
ctpnet	overall	LCK_Y505	5	0.013216029487043923	0.0110643828706521	0.8
ctpnet	overall	LCP2_S376	5	0.018319403498243236	0.02047714269727664	1.0
ctpnet	overall	MAP2K1_S298	5	0.034913914648063815	0.025733337229806984	0.6
ctpnet	overall	MAPK14_pSitePending	5	0.02642004627665362	0.011967842381962223	0.8
ctpnet	overall	MAPK14_pSitePending_D3F9	5	0.02195288138736784	0.030089401316048647	1.0
ctpnet	overall	NFE2L2_S40	5	0.02396282830737706	0.023577765867263477	1.0
ctpnet	overall	PLCG1_Y783	5	-0.0009729926187674875	-0.003892485789564376	0.4
ctpnet	overall	RELA_pSitePending_93H1	5	0.011741300197451676	0.02315850067101739	1.0
ctpnet	overall	RPS6_pSitePending	5	0.034478168257326525	0.04140114660876212	1.0
ctpnet	overall	STAT3_Y705	5	0.04204769487420368	0.03346773737328988	0.8
ctpnet	overall	STAT5A_Y694	5	0.005892998340896183	0.01188868254597189	0.8
ctpnet	overall	STAT6_Y641	5	0.023152797086395616	0.022536058272675286	1.0
ctpnet	overall	ZAP70_Y493	5	-0.036487883448822506	-0.0256602390360826	0.4
ctpnet	overall	p-Rb	5	0.036766936145624596	0.036262434950508335	1.0
ctpnet	within_condition	AKT_S473	5	0.01751752588717237	0.022561285719536882	1.0
ctpnet	within_condition	CREB1_S133_ATF1_S63	5	0.0223736044927465	0.04132002946035257	1.0
ctpnet	within_condition	EIF4EBP1_T37_T46	5	0.018670830675929284	0.004306525385699639	0.6
ctpnet	within_condition	HISTONE_H3_S28	5	0.01867427745351935	0.028943892024996733	1.0
ctpnet	within_condition	JUN_pSitePending	5	0.010612756161218984	0.02100924673098926	1.0
