target_id	target_index	protein_symbol	pathway	weight
RPS6_pSitePending	0	RPS6	AKT_mTOR_S6_axis	1.0
STAT3_Y705	1	STAT3	stress_ifn	1.0
MAPK14_pSitePending	2	MAPK14	ERK_axis	0.5
MAPK14_pSitePending	2	MAPK14	stress_ifn	0.5
AKT_pSitePending	3	AKT1;AKT2;AKT3	AKT_mTOR_S6_axis	1.0
BTK_pSitePending	4	BTK	BCR_BTK_axis	0.5
BTK_pSitePending	4	BTK	BTK_PLCG2_axis	0.5
FOS_S32	6	FOS	ERK_axis	0.5
FOS_S32	6	FOS	stress_ifn	0.5
JUN_pSitePending	8	JUN	ERK_axis	0.5
JUN_pSitePending	8	JUN	stress_ifn	0.5
MAP2K1_S298	11	MAP2K1	ERK_axis	1.0
MAPK14_pSitePending_D3F9	12	MAPK14	ERK_axis	0.5
MAPK14_pSitePending_D3F9	12	MAPK14	stress_ifn	0.5
MAPK1_MAPK3_T202_Y204	13	MAPK1;MAPK3	ERK_axis	1.0
MAPK1_MAPK3_pSitePending	14	MAPK1;MAPK3	ERK_axis	1.0
PLCG2_Y759	15	PLCG2	BTK_PLCG2_axis	1.0
PLCG2_pSitePending	16	PLCG2	BTK_PLCG2_axis	1.0
RELA_S536	17	RELA	NFkB_axis	0.5
RELA_S536	17	RELA	stress_ifn	0.5
RELA_pSitePending_93H1	18	RELA	NFkB_axis	0.5
RELA_pSitePending_93H1	18	RELA	stress_ifn	0.5
STAT5A_STAT5B_Y694_Y699	21	STAT5A;STAT5B	NFkB_axis	0.5
STAT5A_STAT5B_Y694_Y699	21	STAT5A;STAT5B	stress_ifn	0.5
SYK_pSitePending	22	SYK	BCR_BTK_axis	1.0
p-BLNK	25	p-BLNK	BCR_BTK_axis	0.5
p-BLNK	25	p-BLNK	BTK_PLCG2_axis	0.5
p-CD79a	26	p-CD79a	BCR_BTK_axis	1.0
p-CDK1	27	p-CDK1	cell_cycle	1.0
p-CDK4	28	p-CDK4	cell_cycle	1.0
p-HistonH2A.X	30	p-HistonH2A.X	cell_cycle	1.0
p-HistonH3	31	p-HistonH3	cell_cycle	1.0
p-IKKa/b	32	p-IKKa/b	NFkB_axis	1.0
p-PKC-b1	36	p-PKC-b1	BTK_PLCG2_axis	1.0
p-Rb	37	RB1	cell_cycle	1.0
p-STAT5	40	p-STAT5	NFkB_axis	0.5
p-STAT5	40	p-STAT5	stress_ifn	0.5
p-STAT6	41	p-STAT6	NFkB_axis	0.5
p-STAT6	41	p-STAT6	stress_ifn	0.5
p-Src	42	p-Src	BCR_BTK_axis	1.0
p-TOR	43	p-TOR	AKT_mTOR_S6_axis	1.0
p-c-Jun	44	p-c-Jun	ERK_axis	0.5
p-c-Jun	44	p-c-Jun	stress_ifn	0.5
p-p65	45	p-p65	NFkB_axis	0.5
p-p65	45	p-p65	stress_ifn	0.5
HISTONE_H3_S28	46	H3F3A;H3F3B	cell_cycle	1.0
AKT_S473	48	AKT1;AKT2;AKT3	AKT_mTOR_S6_axis	1.0
EIF4EBP1_T37_T46	49	EIF4EBP1	AKT_mTOR_S6_axis	1.0
STAT6_Y641	50	STAT6	NFkB_axis	0.5
STAT6_Y641	50	STAT6	stress_ifn	0.5
LCK_Y505	52	LCK	BCR_BTK_axis	1.0
STAT5A_Y694	53	STAT5A	NFkB_axis	0.5
STAT5A_Y694	53	STAT5A	stress_ifn	0.5
PDPK1_S241	56	PDPK1	AKT_mTOR_S6_axis	1.0
MAP2K4_S257	57	MAP2K4	ERK_axis	0.5
MAP2K4_S257	57	MAP2K4	stress_ifn	0.5
BTK_Y551	58	BTK	BCR_BTK_axis	0.5
BTK_Y551	58	BTK	BTK_PLCG2_axis	0.5
H2AFX_S139	59	H2AFX	cell_cycle	1.0
NDRG1_T346	60	NDRG1	AKT_mTOR_S6_axis	1.0
