target_index	target_id	supervised
0	RPS6_pSitePending	True
1	STAT3_Y705	True
2	MAPK14_pSitePending	True
3	AKT_pSitePending	True
4	BTK_pSitePending	True
5	CREB1_S133_ATF1_S63	True
7	HM0025_phospho_p44_42_197G2	True
8	JUN_pSitePending	True
9	LAT_Y226	True
10	LCP2_S376	True
11	MAP2K1_S298	True
12	MAPK14_pSitePending_D3F9	True
14	MAPK1_MAPK3_pSitePending	True
15	PLCG2_Y759	True
16	PLCG2_pSitePending	True
18	RELA_pSitePending_93H1	True
19	STAT1_pSitePending	False
20	STAT3_pSitePending	False
21	STAT5A_STAT5B_Y694_Y699	True
22	SYK_pSitePending	True
23	p-AMPK-a1/2	True
24	p-AMPK-b1	True
25	p-BLNK	True
26	p-CD79a	True
27	p-CDK1	True
28	p-CDK4	True
29	p-CDK6	False
30	p-HistonH2A.X	True
31	p-HistonH3	True
32	p-IKKa/b	True
33	p-IRAK4	True
34	p-JAK1	True
35	p-JNK	True
36	p-PKC-b1	True
37	p-Rb	True
38	p-SHP-1	False
39	p-SHP-2	False
40	p-STAT5	True
41	p-STAT6	True
42	p-Src	True
43	p-TOR	True
44	p-c-Jun	True
45	p-p65	True
46	HISTONE_H3_S28	True
47	NFE2L2_S40	True
48	AKT_S473	True
49	EIF4EBP1_T37_T46	True
50	STAT6_Y641	True
51	ZAP70_Y493	True
52	LCK_Y505	True
53	STAT5A_Y694	True
54	PLCG1_Y783	True
