architecture	model	split_seed	target_id	overall_spearman	within_condition_spearman	pseudobulk_spearman
ctpnet	single_original	69001	RPS6_pSitePending	0.4941180327075679	0.47663987878819475	0.5688294860699902
ctpnet	single_original	69001	STAT3_Y705	0.39208381560310207	0.342265267066851	0.709547048018566
ctpnet	single_original	69001	MAPK14_pSitePending	0.49467278822960725	0.27697660376849936	0.7833561214471296
ctpnet	single_original	69001	CREB1_S133_ATF1_S63	0.33278544453774245	0.31054983469946335	0.3790414368821876
ctpnet	single_original	69001	JUN_pSitePending	0.33762934034052916	0.2829542936084663	0.53797011815152
ctpnet	single_original	69001	LAT_Y226	0.24079166179863307	0.22512860345539173	0.27687844505233955
ctpnet	single_original	69001	LCP2_S376	0.4953647998201425	0.4302968648576509	0.7237551058573881
ctpnet	single_original	69001	MAP2K1_S298	0.31107476617889573	0.2662510838801662	0.451156468945987
ctpnet	single_original	69001	MAPK14_pSitePending_D3F9	0.5989683022338944	0.52066728608925	0.7963968700295116
ctpnet	single_original	69001	RELA_pSitePending_93H1	0.5768862129815611	0.5048643926505895	0.7246419817167131
ctpnet	single_original	69001	p-Rb	0.4506134595498787	0.3809109248855476	0.6746515708532232
ctpnet	single_original	69001	HISTONE_H3_S28	0.5468651063921772	0.5253239370353063	0.7066769014398973
ctpnet	single_original	69001	NFE2L2_S40	0.7894526766663953	0.6860265659135021	0.939736809212441
ctpnet	single_original	69001	AKT_S473	0.44240077867508687	0.3495098309542274	0.7932745318825168
ctpnet	single_original	69001	EIF4EBP1_T37_T46	0.27547595984388673	0.309094550647908	0.36449929918201335
ctpnet	single_original	69001	STAT6_Y641	0.4938396569224422	0.4361357858416557	0.6913147230934078
ctpnet	single_original	69001	ZAP70_Y493	0.17474492444188303	0.16398233292778025	0.2961805534435223
ctpnet	single_original	69001	LCK_Y505	0.26958282813247875	0.18973040365140545	0.6918853005693372
ctpnet	single_original	69001	STAT5A_Y694	0.24710762331614983	0.21381106996141702	0.5100446837224081
ctpnet	single_original	69001	PLCG1_Y783	0.24504234451863155	0.22769377369446064	0.43314129616501335
ctpnet	mean3	69001	RPS6_pSitePending	0.5054743403833909	0.49104493097877866	0.5635502132032392
ctpnet	mean3	69001	STAT3_Y705	0.4138566604453599	0.3590072216620576	0.7269252457633668
ctpnet	mean3	69001	MAPK14_pSitePending	0.5140771389193489	0.2968638780949613	0.7947810289668255
ctpnet	mean3	69001	CREB1_S133_ATF1_S63	0.34301407956937563	0.3169158352909709	0.4198911132081053
ctpnet	mean3	69001	JUN_pSitePending	0.3167975250925644	0.2779748927341168	0.49404471686285445
ctpnet	mean3	69001	LAT_Y226	0.24402362646915757	0.22968374829529012	0.2044508859694235
ctpnet	mean3	69001	LCP2_S376	0.5018122576411642	0.4354810823197577	0.7299389062277865
ctpnet	mean3	69001	MAP2K1_S298	0.34805991456591306	0.28926347060961943	0.5325257785567825
ctpnet	mean3	69001	MAPK14_pSitePending_D3F9	0.5892164848199474	0.5195510027173228	0.7911571940946187
ctpnet	mean3	69001	RELA_pSitePending_93H1	0.5603101301369576	0.49570786671061234	0.7027682549011938
ctpnet	mean3	69001	p-Rb	0.4537660071749842	0.39166760489250474	0.6757262549277064
ctpnet	mean3	69001	HISTONE_H3_S28	0.5733664306109753	0.549570729879159	0.7404206434549134
ctpnet	mean3	69001	NFE2L2_S40	0.7891092016381632	0.6944085966927052	0.9413593292756816
ctpnet	mean3	69001	AKT_S473	0.4518235513346669	0.35395597825177877	0.7991508603925378
ctpnet	mean3	69001	EIF4EBP1_T37_T46	0.280062345375831	0.31467106947362655	0.41517860124553824
ctpnet	mean3	69001	STAT6_Y641	0.492665817543919	0.4398621921687495	0.670921826115083
ctpnet	mean3	69001	ZAP70_Y493	0.15887226363416992	0.14958565416413955	0.2490148771177074
