model	sample	dataset	target_id	target_index	pathway	mean_attention
SCP682-SC12-protein-residual	train_sample	all	RPS6_pSitePending	0	BCR_BTK_axis	0.14551931619644165
SCP682-SC12-protein-residual	train_sample	all	RPS6_pSitePending	0	BTK_PLCG2_axis	0.15098346769809723
SCP682-SC12-protein-residual	train_sample	all	RPS6_pSitePending	0	ERK_axis	0.08563342690467834
SCP682-SC12-protein-residual	train_sample	all	RPS6_pSitePending	0	NFkB_axis	0.4612189829349518
SCP682-SC12-protein-residual	train_sample	all	RPS6_pSitePending	0	AKT_mTOR_S6_axis	0.09803837537765503
SCP682-SC12-protein-residual	train_sample	all	RPS6_pSitePending	0	cell_cycle	0.0037180790677666664
SCP682-SC12-protein-residual	train_sample	all	RPS6_pSitePending	0	stress_ifn	0.010482686571776867
SCP682-SC12-protein-residual	train_sample	all	RPS6_pSitePending	0	ribosomal	0.04384719207882881
SCP682-SC12-protein-residual	train_sample	all	RPS6_pSitePending	0	random_control	0.0005602541496045887
SCP682-SC12-protein-residual	train_sample	all	STAT3_Y705	1	BCR_BTK_axis	0.0005737699684686959
SCP682-SC12-protein-residual	train_sample	all	STAT3_Y705	1	BTK_PLCG2_axis	6.910001684445888e-05
SCP682-SC12-protein-residual	train_sample	all	STAT3_Y705	1	ERK_axis	0.16880904138088226
SCP682-SC12-protein-residual	train_sample	all	STAT3_Y705	1	NFkB_axis	0.053108107298612595
SCP682-SC12-protein-residual	train_sample	all	STAT3_Y705	1	AKT_mTOR_S6_axis	0.010350514203310013
SCP682-SC12-protein-residual	train_sample	all	STAT3_Y705	1	cell_cycle	0.006219159346073866
SCP682-SC12-protein-residual	train_sample	all	STAT3_Y705	1	stress_ifn	0.04602045565843582
SCP682-SC12-protein-residual	train_sample	all	STAT3_Y705	1	ribosomal	0.7045373320579529
SCP682-SC12-protein-residual	train_sample	all	STAT3_Y705	1	random_control	0.010312635451555252
SCP682-SC12-protein-residual	train_sample	all	MAPK14_pSitePending	2	BCR_BTK_axis	0.002068326808512211
SCP682-SC12-protein-residual	train_sample	all	MAPK14_pSitePending	2	BTK_PLCG2_axis	0.02090720273554325
SCP682-SC12-protein-residual	train_sample	all	MAPK14_pSitePending	2	ERK_axis	0.1827268749475479
SCP682-SC12-protein-residual	train_sample	all	MAPK14_pSitePending	2	NFkB_axis	0.24757984280586243
SCP682-SC12-protein-residual	train_sample	all	MAPK14_pSitePending	2	AKT_mTOR_S6_axis	0.06374763697385788
SCP682-SC12-protein-residual	train_sample	all	MAPK14_pSitePending	2	cell_cycle	0.13789471983909607
SCP682-SC12-protein-residual	train_sample	all	MAPK14_pSitePending	2	stress_ifn	0.0410805307328701
SCP682-SC12-protein-residual	train_sample	all	MAPK14_pSitePending	2	ribosomal	0.2986792325973511
SCP682-SC12-protein-residual	train_sample	all	MAPK14_pSitePending	2	random_control	0.005314772017300129
SCP682-SC12-protein-residual	train_sample	all	AKT_pSitePending	3	BCR_BTK_axis	0.02977406233549118
SCP682-SC12-protein-residual	train_sample	all	AKT_pSitePending	3	BTK_PLCG2_axis	0.0005371446022763848
SCP682-SC12-protein-residual	train_sample	all	AKT_pSitePending	3	ERK_axis	0.25875142216682434
SCP682-SC12-protein-residual	train_sample	all	AKT_pSitePending	3	NFkB_axis	0.013978301547467709
SCP682-SC12-protein-residual	train_sample	all	AKT_pSitePending	3	AKT_mTOR_S6_axis	0.09848713874816895
SCP682-SC12-protein-residual	train_sample	all	AKT_pSitePending	3	cell_cycle	3.5354332794668153e-06
SCP682-SC12-protein-residual	train_sample	all	AKT_pSitePending	3	stress_ifn	0.05684090778231621
SCP682-SC12-protein-residual	train_sample	all	AKT_pSitePending	3	ribosomal	0.4287871718406677
