target_order	target_id	protein_symbol	protein_beta	protein_bias	n_fit_cells	fit_status
0	RPS6_pSitePending	RPS6	0.009118513204157352	-9.798142031058887e-08	121847	fit
1	STAT3_Y705	STAT3	-0.015681162476539612	2.243708108196074e-09	114398	fit
2	MAPK14_pSitePending	MAPK14	-0.002449332969263196	-3.3129199383807872e-09	121847	fit
3	AKT_pSitePending	AKT1;AKT2;AKT3	0.08696626126766205	4.6849164547779765e-09	7449	fit
4	BTK_pSitePending	BTK	-0.023836681619286537	-7.70843300301749e-09	7449	fit
5	CREB1_S133_ATF1_S63	CREB1;ATF1	-0.0046737962402403355	2.4773218143536724e-08	114398	fit
6	FOS_S32	FOS	0.0	0.0	0	no_training_observation
7	HM0025_phospho_p44_42_197G2	pending	-0.003922689706087112	1.9771153603187486e-08	114398	fit
8	JUN_pSitePending	JUN	-0.011447732336819172	3.971442552597182e-08	114398	fit
9	LAT_Y226	LAT	0.004534934647381306	-6.4484941830755815e-09	114398	fit
10	LCP2_S376	LCP2	-0.007629024796187878	-3.62551766386332e-08	114398	fit
11	MAP2K1_S298	MAP2K1	0.009436494670808315	-1.6422605497723453e-08	114398	fit
12	MAPK14_pSitePending_D3F9	MAPK14	0.03625984489917755	-7.333863294434195e-08	114398	fit
13	MAPK1_MAPK3_T202_Y204	MAPK1;MAPK3	0.0	0.0	0	no_training_observation
14	MAPK1_MAPK3_pSitePending	MAPK1;MAPK3	0.006369461305439472	4.1985039445080474e-08	7449	fit
15	PLCG2_Y759	PLCG2	-0.06676924228668213	2.5218325205855763e-08	7449	fit
16	PLCG2_pSitePending	PLCG2	-0.025750581175088882	-1.9159481112751564e-08	7449	fit
17	RELA_S536	RELA	0.0	0.0	0	no_training_observation
18	RELA_pSitePending_93H1	RELA	0.06632444262504578	9.893895480672654e-09	114398	fit
19	STAT5A_STAT5B_Y694_Y699	STAT5A;STAT5B	0.021882744506001472	-5.1502794917723804e-08	114398	fit
20	SYK_pSitePending	SYK	-0.029593925923109055	-4.6194243985553385e-09	7449	fit
21	p-AMPK-a1/2	p-AMPK-a1/2	-0.018453391268849373	9.658356248110067e-08	7449	fit
22	p-AMPK-b1	p-AMPK-b1	0.00774207292124629	-4.628067884482334e-08	7449	fit
23	p-BLNK	p-BLNK	0.010411509312689304	-4.505320916337041e-08	7449	fit
24	p-CD79a	p-CD79a	-0.011070923879742622	-2.5903386102754666e-08	7449	fit
25	p-CDK1	p-CDK1	0.09066702425479889	-7.992841943860185e-08	7449	fit
26	p-CDK4	p-CDK4	-0.007242140360176563	-2.626999240362693e-08	7449	fit
27	p-HistonH2A.X	p-HistonH2A.X	0.0902673676609993	3.478131560541442e-08	7449	fit
28	p-HistonH3	p-HistonH3	0.0005730052362196147	1.7750359404544724e-08	7449	fit
29	p-IKKa/b	p-IKKa/b	0.018463945016264915	3.9981390642651604e-08	7449	fit
30	p-IRAK4	p-IRAK4	-0.014520503580570221	-7.620457154189353e-08	7449	fit
31	p-JAK1	p-JAK1	0.0470641627907753	-7.105809629592841e-08	7449	fit
32	p-JNK	p-JNK	-0.006177022121846676	-2.266274456985684e-08	7449	fit
33	p-PKC-b1	p-PKC-b1	-0.03494684025645256	1.762541401717499e-08	7449	fit
34	p-Rb	RB1	-0.008569947443902493	-1.0044323595082005e-08	7449	fit
35	p-STAT5	p-STAT5	0.0416552908718586	-1.6799042157344957e-08	7449	fit
36	p-STAT6	p-STAT6	-0.01140094269067049	5.876809439087083e-08	7449	fit
37	p-Src	p-Src	-0.0035758335143327713	2.4699765788227523e-08	7449	fit
38	p-TOR	p-TOR	0.011190694756805897	-6.102895611093118e-08	7449	fit
39	p-c-Jun	p-c-Jun	-0.0019917385652661324	2.230913231926479e-09	7449	fit
40	p-p65	p-p65	-0.013518515042960644	-4.537033504448118e-08	7449	fit
41	HISTONE_H3_S28	H3F3A;H3F3B	0.0	0.0	0	no_training_observation
42	NFE2L2_S40	NFE2L2	0.0	0.0	0	no_training_observation
43	AKT_S473	AKT1;AKT2;AKT3	0.0	0.0	0	no_training_observation
44	EIF4EBP1_T37_T46	EIF4EBP1	0.0	0.0	0	no_training_observation
45	STAT6_Y641	STAT6	0.0	0.0	0	no_training_observation
46	ZAP70_Y493	ZAP70	0.0	0.0	0	no_training_observation
47	LCK_Y505	LCK	0.0	0.0	0	no_training_observation
48	STAT5A_Y694	STAT5A	0.0	0.0	0	no_training_observation
49	PLCG1_Y783	PLCG1	0.0	0.0	0	no_training_observation
50	CTNND1_T310	CTNND1	0.0	0.0	0	no_training_observation
51	PDPK1_S241	PDPK1	0.0	0.0	0	no_training_observation
52	MAP2K4_S257	MAP2K4	0.0	0.0	0	no_training_observation
53	BTK_Y551	BTK	0.0	0.0	0	no_training_observation
54	H2AFX_S139	H2AFX	0.0	0.0	0	no_training_observation
55	NDRG1_T346	NDRG1	0.0	0.0	0	no_training_observation
